dataset_type,size_formation,comm_delay,comm_range,comm_failure,shape_error_avg_030s,shape_error_avg_1min,shape_error_avg_2min,shape_error_avg_3min,shape_error_avg_4min,shape_error_avg_5min,leader_off_avg_030s,leader_off_avg_1min,leader_off_avg_2min,leader_off_avg_3min,leader_off_avg_4min,leader_off_avg_5min,presence_error_avg_030s,presence_error_avg_1min,presence_error_avg_2min,presence_error_avg_3min,presence_error_avg_4min,presence_error_avg_5min
training,0.0625,0.0,0.32786885245901637,0.0,0.1760813668545833,0.1815797982951767,0.18503767938831675,0.18496200024500864,0.1882475005431236,0.1855367923186846,0.2916666666666667,0.26416666666666666,0.27708333333333335,0.4647222222222222,0.39395833333333335,0.37516666666666665,0.08611979166666667,0.133984375,0.12449869791666666,0.10371961805555556,0.10069661458333333,0.09714322916666666
training,0.0625,0.0,0.32786885245901637,0.14285714285714285,0.26659025333221575,0.24980205839187042,0.24815531623804182,0.2343680100697027,0.23197162976869762,0.22565227544154232,0.49333333333333335,0.36333333333333334,0.40458333333333335,0.43833333333333335,0.443125,0.4176666666666667,0.17028645833333333,0.15428385416666668,0.14839192708333335,0.1403125,0.12887044270833334,0.12386979166666667
training,0.0625,0.0,0.32786885245901637,0.2857142857142857,0.2616262026722784,0.2602528132963006,0.24667736230395776,0.24722192034026585,0.24743685422238448,0.24407042203797674,0.185,0.345,0.4116666666666667,0.39694444444444443,0.38229166666666664,0.41,0.14645833333333333,0.157890625,0.15539713541666667,0.15477864583333334,0.16364583333333332,0.16329166666666667
training,0.0625,0.0,0.32786885245901637,0.42857142857142855,0.28968217014847925,0.2667621800402434,0.2648058103086938,0.2748622156471918,0.28143739286948866,0.27562543754815927,0.12666666666666668,0.2375,0.4245833333333333,0.4122222222222222,0.38229166666666664,0.3418333333333333,0.21359375,0.2062109375,0.200078125,0.2099609375,0.20856770833333332,0.20681510416666668
training,0.0625,0.0,0.32786885245901637,0.5238095238095238,0.24614313796757945,0.2924900294149038,0.29524060817553827,0.29560262327610587,0.29438270945298284,0.28897936515131234,0.45666666666666667,0.5775,0.495,0.4494444444444444,0.4502083333333333,0.413,0.1946875,0.23140625,0.22784505208333333,0.22584635416666668,0.229091796875,0.2265390625
training,0.0625,0.0,0.32786885245901637,0.6666666666666667,0.2946212515013501,0.30816304153925816,0.3004534171903182,0.2973505847086507,0.3007035153290466,0.29893961688434045,0.37,0.6241666666666666,0.5725,0.5019444444444444,0.4685416666666667,0.444,0.23700520833333333,0.2522786458333333,0.24789713541666666,0.2527300347222222,0.2585546875,0.2594036458333333
training,0.0625,0.0,0.32786885245901637,0.8095238095238096,0.32749755491924626,0.31743192077245674,0.30983714230943493,0.3056722638316103,0.32726119485739036,0.32502726178366326,0.38166666666666665,0.3591666666666667,0.3120833333333333,0.29555555555555557,0.3595833333333333,0.342,0.2803125,0.2874479166666667,0.2804036458333333,0.2758333333333333,0.29081380208333335,0.28803645833333336
training,0.0625,0.0,0.32786885245901637,0.9523809523809524,0.30419634579169297,0.31480729622452047,0.31007352259301,0.31636832939222587,0.31783980765181324,0.31310611020041723,0.41333333333333333,0.49833333333333335,0.5004166666666666,0.5069444444444444,0.461875,0.4121666666666667,0.30734375,0.33013020833333334,0.3198046875,0.32059027777777777,0.31565755208333335,0.31630989583333335
training,0.0625,0.11573122413598257,0.32786885245901637,0.0,0.24548805816722427,0.22056576971583666,0.19943375024735283,0.2036691940684241,0.19902008916155076,0.20186192398069072,0.355,0.4625,0.5816666666666667,0.5322222222222223,0.4533333333333333,0.49083333333333334,0.09372395833333333,0.1097265625,0.12346354166666666,0.12391927083333333,0.11298502604166667,0.122796875
training,0.0625,0.11641270145169355,0.32786885245901637,0.14285714285714285,0.3081388552678265,0.30332041637909657,0.2735625670321457,0.25007902200548665,0.23362912825102702,0.23210793063669735,0.30333333333333334,0.22333333333333333,0.32375,0.4361111111111111,0.358125,0.3308333333333333,0.13854166666666667,0.13940104166666667,0.15199869791666668,0.1495138888888889,0.140712890625,0.13649739583333334
